Number 1, 19904
Number 2, 20050
Number 3, 19898
Number 4, 20208
Number 5, 20120
Number 6, 20050
Number 7, 20009
Number 8, 19830
Number 9, 20092
Number 10, 19807
Number 11, 19980
Number 12, 19854
Number 13, 19876
Number 14, 20105
Number 15, 19841
Number 16, 19980
Number 17, 19757
Number 18, 19974
Number 19, 19910
Number 20, 19882
Number 21, 20138
Number 22, 20087
Number 23, 20183
Number 24, 20195
Number 25, 20160
Number 26, 19863
Number 27, 19954
Number 28, 20187
Number 29, 19914
Number 30, 20170
Number 31, 20120
Number 32, 19745
Number 33, 20136
Number 34, 20165
Number 35, 19887
Number 36, 20037
Number 37, 20130
Number 38, 19893
Number 39, 19995
Number 40, 20176
Number 41, 19895
Number 42, 20051
Number 43, 19971
Number 44, 19625
Number 45, 19773
Number 46, 20051
Number 47, 20187
Number 48, 19980
Number 49, 20127
Number 50, 20078
